#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2020.009	1.022e+01	3.812e+00	2.741e+01
2020.053	1.274e+01	6.690e+00	2.425e+01
2020.097	2.706e+01	1.605e+01	4.559e+01
2020.140	2.248e+01	1.515e+01	3.336e+01
2020.184	2.669e+02	2.420e+02	2.944e+02
2020.228	2.164e+03	1.936e+03	2.418e+03
2020.272	5.391e+03	4.370e+03	6.651e+03
2020.315	3.884e+03	2.871e+03	5.255e+03
2020.359	3.502e+03	2.478e+03	4.949e+03
2020.403	3.624e+03	2.614e+03	5.025e+03
2020.446	1.457e+03	1.099e+03	1.930e+03
2020.490	8.915e+02	6.779e+02	1.172e+03
2020.534	5.779e+03	4.317e+03	7.735e+03
2020.578	1.270e+03	9.341e+02	1.726e+03
2020.621	2.152e+03	1.706e+03	2.715e+03
2020.665	1.492e+03	1.201e+03	1.855e+03
2020.709	1.470e+03	1.202e+03	1.797e+03
2020.753	2.489e+03	1.996e+03	3.105e+03
2020.796	2.939e+03	2.209e+03	3.909e+03
2020.840	1.744e+02	5.879e+01	5.171e+02
