#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2020.028	5.946e+00	2.255e+00	1.568e+01
2020.072	7.558e+00	3.803e+00	1.502e+01
2020.117	1.029e+01	5.623e+00	1.884e+01
2020.161	4.357e+01	2.953e+01	6.428e+01
2020.206	7.555e+01	5.594e+01	1.020e+02
2020.251	6.719e+02	5.070e+02	8.904e+02
2020.295	8.802e+02	6.455e+02	1.200e+03
2020.340	2.118e+03	1.532e+03	2.929e+03
2020.385	3.337e+03	2.426e+03	4.589e+03
2020.429	1.139e+03	8.227e+02	1.576e+03
2020.474	4.132e+03	3.172e+03	5.382e+03
2020.519	4.658e+03	3.610e+03	6.011e+03
2020.563	9.925e+02	8.005e+02	1.231e+03
2020.608	2.450e+03	2.156e+03	2.785e+03
2020.652	2.053e+03	1.818e+03	2.318e+03
2020.697	1.739e+03	1.562e+03	1.936e+03
2020.742	3.867e+03	3.509e+03	4.260e+03
2020.786	2.184e+03	2.001e+03	2.383e+03
2020.831	3.428e+03	3.139e+03	3.744e+03
2020.876	1.713e+04	1.311e+04	2.237e+04
