#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2019.914	1.415e+01	5.507e+00	3.638e+01
2020.029	1.575e+01	7.767e+00	3.195e+01
2020.144	1.740e+01	8.694e+00	3.483e+01
2020.258	1.962e+01	9.967e+00	3.861e+01
2020.373	2.586e+01	1.425e+01	4.693e+01
2020.487	5.943e+01	3.803e+01	9.285e+01
2020.602	1.832e+02	1.320e+02	2.543e+02
2020.717	9.910e+02	7.089e+02	1.385e+03
2020.831	1.495e+03	1.033e+03	2.165e+03
2020.946	2.385e+03	1.491e+03	3.814e+03
2021.060	2.663e+03	1.454e+03	4.879e+03
2021.175	2.130e+03	1.088e+03	4.170e+03
2021.290	1.985e+03	9.978e+02	3.949e+03
2021.404	1.697e+03	8.752e+02	3.291e+03
2021.519	1.554e+03	8.099e+02	2.982e+03
2021.633	1.435e+03	7.355e+02	2.800e+03
2021.748	9.172e+02	4.708e+02	1.787e+03
2021.863	4.663e+02	2.457e+02	8.849e+02
2021.977	4.404e+02	2.245e+02	8.642e+02
2022.092	4.503e+02	1.655e+02	1.226e+03
