#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2019.665	1.638e+01	6.298e+00	4.260e+01
2019.789	1.918e+01	9.459e+00	3.889e+01
2019.913	2.242e+01	1.138e+01	4.417e+01
2020.038	3.158e+01	1.816e+01	5.494e+01
2020.162	2.435e+02	1.996e+02	2.971e+02
2020.287	1.684e+03	1.417e+03	2.001e+03
2020.411	1.848e+03	1.456e+03	2.344e+03
2020.536	2.533e+03	2.012e+03	3.190e+03
2020.660	1.708e+03	1.431e+03	2.040e+03
2020.784	1.128e+03	9.674e+02	1.315e+03
2020.909	6.612e+03	5.250e+03	8.329e+03
2021.033	5.848e+03	3.799e+03	9.002e+03
2021.158	1.269e+04	7.245e+03	2.224e+04
2021.282	1.175e+04	6.165e+03	2.238e+04
2021.407	9.928e+03	4.976e+03	1.981e+04
2021.531	5.053e+03	2.717e+03	9.400e+03
2021.655	1.498e+03	9.546e+02	2.351e+03
2021.780	4.496e+02	2.596e+02	7.787e+02
2021.904	2.172e+02	1.188e+02	3.973e+02
2022.029	3.596e+01	1.367e+01	9.458e+01
