#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2020.104	6.050e+00	2.323e+00	1.575e+01
2020.145	7.132e+00	3.517e+00	1.447e+01
2020.185	8.284e+00	4.498e+00	1.526e+01
2020.226	2.430e+01	1.822e+01	3.242e+01
2020.267	2.588e+02	1.932e+02	3.467e+02
2020.308	1.298e+02	8.709e+01	1.933e+02
2020.349	1.152e+02	7.385e+01	1.797e+02
2020.389	7.934e+01	5.007e+01	1.257e+02
2020.430	1.387e+02	8.933e+01	2.154e+02
2020.471	5.009e+01	2.987e+01	8.400e+01
2020.512	6.490e+01	4.158e+01	1.013e+02
2020.552	5.711e+01	3.269e+01	9.978e+01
2020.593	3.793e+01	2.357e+01	6.104e+01
2020.634	8.856e+01	5.309e+01	1.477e+02
2020.675	1.042e+02	5.610e+01	1.936e+02
2020.715	6.475e+01	3.571e+01	1.174e+02
2020.756	5.378e+01	2.914e+01	9.926e+01
2020.797	5.059e+01	2.610e+01	9.807e+01
2020.838	5.304e+01	2.621e+01	1.073e+02
2020.878	5.392e+01	1.983e+01	1.466e+02
