#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2020.268	1.377e+01	5.367e+00	3.533e+01
2020.361	1.550e+01	7.642e+00	3.143e+01
2020.453	1.801e+01	8.879e+00	3.652e+01
2020.546	2.030e+01	1.044e+01	3.946e+01
2020.639	2.491e+01	1.250e+01	4.965e+01
2020.731	2.924e+01	1.473e+01	5.802e+01
2020.824	3.490e+01	1.966e+01	6.197e+01
2020.917	5.541e+01	3.106e+01	9.883e+01
2021.009	1.055e+02	5.568e+01	2.000e+02
2021.102	1.135e+02	5.873e+01	2.192e+02
2021.195	1.033e+02	5.123e+01	2.083e+02
2021.287	8.282e+01	4.078e+01	1.682e+02
2021.380	6.492e+01	3.195e+01	1.319e+02
2021.473	5.186e+01	2.577e+01	1.044e+02
2021.565	3.759e+01	1.854e+01	7.624e+01
2021.658	2.743e+01	1.457e+01	5.163e+01
2021.751	6.999e+01	4.192e+01	1.168e+02
2021.843	1.180e+02	5.951e+01	2.341e+02
2021.936	1.582e+02	7.916e+01	3.163e+02
2022.029	1.646e+02	6.046e+01	4.479e+02
