#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2019.922	1.237e+01	5.173e+00	2.956e+01
2019.977	2.611e+01	1.554e+01	4.385e+01
2020.033	1.849e+02	1.204e+02	2.839e+02
2020.088	6.400e+02	3.693e+02	1.109e+03
2020.143	4.705e+02	2.732e+02	8.103e+02
2020.198	5.136e+02	3.110e+02	8.481e+02
2020.254	1.258e+03	7.372e+02	2.148e+03
2020.309	1.584e+03	8.982e+02	2.794e+03
2020.364	2.638e+03	1.455e+03	4.781e+03
2020.419	3.265e+03	1.803e+03	5.913e+03
2020.474	2.203e+03	1.280e+03	3.790e+03
2020.530	1.532e+03	9.351e+02	2.509e+03
2020.585	1.735e+03	1.038e+03	2.902e+03
2020.640	2.377e+03	1.367e+03	4.135e+03
2020.695	1.294e+03	8.109e+02	2.065e+03
2020.750	3.705e+02	2.498e+02	5.494e+02
2020.806	5.435e+02	3.520e+02	8.392e+02
2020.861	9.963e+02	5.098e+02	1.947e+03
2020.916	9.098e+02	4.509e+02	1.836e+03
2020.971	7.195e+02	2.648e+02	1.955e+03
