#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2021.045	8.303e+00	3.105e+00	2.220e+01
2021.084	1.023e+01	5.552e+00	1.885e+01
2021.123	4.096e+01	2.644e+01	6.346e+01
2021.161	6.800e+01	4.122e+01	1.122e+02
2021.200	6.464e+01	3.880e+01	1.077e+02
2021.239	4.614e+01	2.638e+01	8.070e+01
2021.278	1.030e+02	5.938e+01	1.786e+02
2021.317	1.097e+02	5.639e+01	2.133e+02
2021.355	1.050e+02	5.161e+01	2.134e+02
2021.394	9.646e+01	4.921e+01	1.891e+02
2021.433	9.192e+01	4.534e+01	1.864e+02
2021.472	8.673e+01	4.411e+01	1.705e+02
2021.511	8.204e+01	4.094e+01	1.644e+02
2021.549	6.597e+01	3.254e+01	1.337e+02
2021.588	4.987e+01	2.468e+01	1.008e+02
2021.627	3.787e+01	1.901e+01	7.541e+01
2021.666	3.216e+01	1.624e+01	6.369e+01
2021.705	3.189e+01	1.626e+01	6.253e+01
2021.743	3.940e+01	1.974e+01	7.862e+01
2021.782	3.972e+01	1.462e+01	1.079e+02
